observation_date,ASPUS
2000-01-01,202900
2000-04-01,202400
2000-07-01,204100
2000-10-01,212100
2001-01-01,211000
2001-04-01,211200
2001-07-01,207800
2001-10-01,214200
2002-01-01,227600
2002-04-01,227600
2002-07-01,219100
2002-10-01,232500
2003-01-01,233100
2003-04-01,241000
2003-07-01,248100
2003-10-01,256000
2004-01-01,262900
2004-04-01,265300
2004-07-01,274000
2004-10-01,286300
2005-01-01,288500
2005-04-01,287800
2005-07-01,294600
2005-10-01,294200
2006-01-01,305300
2006-04-01,302600
2006-07-01,308100
2006-10-01,299600
2007-01-01,322100
2007-04-01,310100
2007-07-01,301200
2007-10-01,305800
2008-01-01,290400
2008-04-01,304200
2008-07-01,285100
2008-10-01,276600
2009-01-01,257000
2009-04-01,273400
2009-07-01,274100
2009-10-01,272900
2010-01-01,275300
2010-04-01,268800
2010-07-01,266000
2010-10-01,278000
2011-01-01,268100
2011-04-01,267600
2011-07-01,263000
2011-10-01,259700
2012-01-01,278000
2012-04-01,282700
2012-07-01,294500
2012-10-01,297700
2013-01-01,307400
2013-04-01,320400
2013-07-01,324400
2013-10-01,334400
2014-01-01,331400
2014-04-01,340600
2014-07-01,340400
2014-10-01,369400
2015-01-01,348000
2015-04-01,339700
2015-07-01,347400
2015-10-01,366700
2016-01-01,357000
2016-04-01,357900
2016-07-01,358800
2016-10-01,364900
2017-01-01,374800
2017-04-01,376900
2017-07-01,373200
2017-10-01,399700
2018-01-01,374600
2018-04-01,378400
2018-07-01,392900
2018-10-01,384000
2019-01-01,375500
2019-04-01,376700
2019-07-01,382700
2019-10-01,384600
2020-01-01,383000
2020-04-01,371100
2020-07-01,400600
2020-10-01,396900
2021-01-01,417400
2021-04-01,428600
2021-07-01,468000
2021-10-01,496700
2022-01-01,499300
2022-04-01,525100
2022-07-01,520300
2022-10-01,521000
2023-01-01,505300
2023-04-01,503000
2023-07-01,521900
2023-10-01,498300
2024-01-01,519700
2024-04-01,502200
2024-07-01,498700
2024-10-01,510300
